,mean,std,min,max
Fz_delta_mean,-0.0748522084186517,0.9266354145770851,-3.8179290474963383,2.863957097292832
Fz_delta_var,-0.029227018820470657,1.0660204271833675,-1.2863934012651002,4.436108347103447
Fz_delta_std,-0.06833951219775505,1.094133973190004,-2.081271874425473,3.3617513274409845
Fz_delta_kurt,0.053047335816894164,1.0698569373562494,-1.361619776109022,4.702575688211594
Fz_delta_skew,0.048657123705685056,1.0694668640489338,-3.300927924022983,3.874176862181396
Fz_theta_mean,0.04622702405225676,0.9041062618425748,-2.921194811588459,3.4157081239307474
Fz_theta_var,-0.262696197826195,0.8473472255946614,-1.4183394956481568,3.3528874653403355
Fz_theta_std,-0.2972685944059202,0.9346103927255817,-2.130377650343798,2.8647024064623525
Fz_theta_kurt,-0.1402376665387797,0.84859878368511,-1.415382839538714,4.17414751571086
Fz_theta_skew,0.00386632846778189,0.6475207376382598,-4.603048443487673,2.817441771038307
Fz_alpha_mean,0.009083775191128546,1.037500040439775,-2.8608690814131954,5.336300438059698
Fz_alpha_var,-0.027330795992699577,1.1825551129517546,-0.8088290408378009,6.174346292719547
Fz_alpha_std,-0.06155169804601522,1.0490384888162276,-1.2243051159268818,4.237129390348103
Fz_alpha_kurt,0.20733915099554145,1.2009948652648612,-1.3957987068876343,5.355166756616048
Fz_alpha_skew,-0.12026857586539427,1.1578271788557812,-6.258740538247987,5.2963345222993805
Fz_beta_mean,0.08107146811309696,0.9332619852875458,-2.455812000127515,2.4724884007695875
Fz_beta_var,-0.2916841399034918,0.9256269341296743,-1.7664119029201928,3.445356066069142
Fz_beta_std,-0.2948203175809492,0.9398648996441197,-2.2149034161967047,2.8063096105609424
Fz_beta_kurt,-0.06721723487361674,0.8858841482815881,-1.595637392550077,3.3668262915577194
Fz_beta_skew,0.025007361664913262,0.8820239751379878,-3.0302470128139514,2.501191325695382
Fz_gamma_mean,-0.0670831712508438,0.8800328708851953,-2.3384796829039525,2.660547970489723
Fz_gamma_var,-0.4582148387468139,0.47613032120261334,-1.107808990141373,2.003456663476236
Fz_gamma_std,-0.48325437874000066,0.6053197892838289,-1.6483914663870367,1.935993306246619
Fz_gamma_kurt,-0.07487477414975087,0.8719841682018544,-1.2857450540062638,5.145044002855592
Fz_gamma_skew,-0.06255499265002548,1.0277646646026362,-7.371293540119196,3.5928846979007076
C3_delta_mean,-0.026428916261170263,1.0622747829886812,-3.47767516124356,2.8874889282533918
C3_delta_var,-0.28652136488759533,0.43756828961644995,-0.8806804410345951,1.9858358728602739
C3_delta_std,-0.13071629540623061,0.4856625626335153,-1.0812444092351758,1.7578962402609282
C3_delta_kurt,0.0932359179210706,1.0226295574372124,-1.2487966846580578,6.185205338427922
C3_delta_skew,-0.03559106260024284,1.1071767696350236,-4.791701608354838,3.2219818914456875
C3_theta_mean,0.08707953732938992,0.987906752368214,-2.5911340464126362,2.297045406079273
C3_theta_var,0.02237661237221981,0.44254625273623793,-0.8288125768027159,1.8587396097932194
C3_theta_std,0.20380571234260397,0.4992649274279227,-1.1432354813428205,1.822501440935143
C3_theta_kurt,-0.1298381106738737,0.891782846383157,-1.348754167024464,3.203965279186811
C3_theta_skew,-0.08084208246592639,0.7810639848544862,-6.205082204010464,2.6798541589568403
C3_alpha_mean,-0.00668608099302585,1.0287751732024826,-3.381518815553003,2.802723567926801
C3_alpha_var,0.011376408043518273,0.43306967822454057,-0.6327913976143994,2.7847782695373176
C3_alpha_std,0.22219212307995215,0.5167535067183447,-0.9493860255314123,2.5949563200806876
C3_alpha_kurt,-0.10240936338538073,0.8480456834664348,-1.3145351348684662,4.557832601179332
C3_alpha_skew,-0.13600259301215714,0.7767235955803999,-5.450030753381185,2.1780879770132264
C3_beta_mean,0.15349216829316673,1.3062092851371219,-3.2841166804623403,4.4980867293809705
C3_beta_var,0.9763783026451782,0.7583357459236874,-1.2336205696020908,3.1207896419438024
C3_beta_std,0.9539365208173084,0.6278389675306061,-1.528870055119948,2.3657235400543186
C3_beta_kurt,-0.0016241561638981703,0.9253551988199282,-1.129153072474414,5.57191097571948
C3_beta_skew,0.07023867349812049,0.9690508524621501,-3.3885647103031014,2.7188678786522713
C3_gamma_mean,-0.13912101987453368,1.3078031694425947,-3.3914248232229296,4.256160426530489
C3_gamma_var,0.7309943492309314,1.1615471660690997,-1.0604317931187761,5.26700225966001
C3_gamma_std,0.7870430180850091,1.035512037552027,-1.7724470035934674,3.8642904715867235
C3_gamma_kurt,-0.009097639167209653,0.8483131905590403,-1.1391631694151214,4.803276206440387
C3_gamma_skew,-0.0371207400109766,0.8530315266908377,-4.418529559072476,4.480229090133815
Cz_delta_mean,0.0008917360289879768,0.8835946731879217,-2.830930930510488,2.4862876056494856
Cz_delta_var,-0.029603695870856116,1.0295594893146935,-1.1204824374822884,5.011340785687467
Cz_delta_std,-0.04769792336614674,1.0354470970562153,-1.6271780903467974,3.655122157909816
Cz_delta_kurt,-0.05951307257478019,0.90843590349742,-1.345394323975942,3.9674515533525403
Cz_delta_skew,0.0470979021072169,0.9157889015026207,-2.615882055870482,3.2873175355576634
Cz_theta_mean,0.053923309717612646,0.9629722242769592,-2.6670360654502767,2.8069519292758067
Cz_theta_var,-0.2255772057236295,0.8046833911851534,-1.2754822670753037,3.911206999661351
Cz_theta_std,-0.2452933469181259,0.8869930379337172,-1.9056518280377304,3.24724023467886
Cz_theta_kurt,-0.005559903518523069,0.8703836890936213,-1.0910877004999913,3.9908234890602072
Cz_theta_skew,0.030314179472043276,1.0100282221517476,-5.126175850374645,6.060181076141664
Cz_alpha_mean,-0.027074011948666155,0.9340582129281334,-2.6628407841752586,3.7972562876795912
Cz_alpha_var,0.03143121419694245,0.9710224994845863,-0.7867732943848378,4.969514349934802
Cz_alpha_std,0.08938621665426916,0.90705248383958,-1.2250207300597358,3.6506669460325925
Cz_alpha_kurt,0.005394723165215922,1.1692802713724504,-1.5204792193511394,6.238080477437509
Cz_alpha_skew,0.06452885363919994,0.613774887647255,-1.9955762524616183,2.041029587707216
Cz_beta_mean,0.0678896381100851,0.8632881761394083,-2.2505018971185224,2.71378914679135
Cz_beta_var,-0.2801660475810732,0.7639886876537955,-1.5449561596896717,2.3459485621372504
Cz_beta_std,-0.2549625518028306,0.7929029640125417,-1.9186081783393527,2.059057002062802
Cz_beta_kurt,0.03278872495209622,1.1109994478644931,-1.4589874514447547,6.893891051176942
Cz_beta_skew,-0.022465911983784944,0.8607721524767205,-3.380727651152588,2.2578401729692645
Cz_gamma_mean,-0.0819511880898144,0.8442311632006279,-2.020063643121719,2.2644226483082215
Cz_gamma_var,-0.3782838774686075,0.39974871850199284,-0.9704578228441018,1.4986159266280432
Cz_gamma_std,-0.34849910149684965,0.5176031151072547,-1.4824068350654618,1.578739890206629
Cz_gamma_kurt,0.0067388744889959684,0.8704832418149979,-1.3573010530546081,4.487042273989837
