Adaptive MI,mi,EMI,ATT
1,0.8999999630916132,1,1
1,0.8999999617174613,1,1
1,0.8999999640928392,1,1
1,0.8999999645791379,1,1
1,0.8999999642387938,1,1
1,0.8999999625833237,1,1
1,0.8999999612988933,1,1
1,0.899999959,1,1
1,0.8999999587666112,1,1
1,0.8999999667223783,1,1
1,0.8999999648702269,1,1
1,0.899999968,1,1
1,0.8999999642775144,1,1
1,0.8999999702314637,1,1
1,0.8999999649991456,1,1
1,0.8999999636849562,1,1
1,0.8999999637735308,1,1
1,0.899999961,1,1
1,0.8999999629018594,1,1
1,0.899999956,1,1
1,0.8999999605456347,1,1
1,0.8999999574170179,1,1
1,0.899999964,1,1
1,0.8999999536021939,1,1
1,0.8999999651839979,1,1
1,0.8999999644201166,1,1
1,0.8999999611032287,0,1
1,0.8999999665117459,1,1
1,0.8999999675228548,1,1
1,0.8999999669869649,1,1
1,0.8999999578802359,1,1
1,0.8999999633693333,1,1
1,0.8999999585206334,1,1
1,0.89999996,1,1
1,0.8999999643203397,1,1
1,0.8999999624025369,1,1
1,0.899999965,1,1
1,0.8999999647276811,1,1
1,0.8999999694745909,0,1
1,0.8999999697729508,1,1
1,0.8999999676573139,1,1
1,0.8999999646885503,1,1
1,0.8999999655704136,1,1
1,0.8999999736690424,1,1
1,0.8999999598600427,1,1
1,0.8999999687645602,1,1
1,0.8999999682220914,1,1
1,0.8999999701846441,1,1
1,0.8999999627771721,1,1
1,0.8999999616419362,1,1
1,0.8999999577243636,0,1
1,0.8999999640280845,1,1
1,0.899999963,1,1
1,0.8999999657069805,1,1
1,0.8999999645687865,0,1
1,0.8999999656426748,1,1
1,0.8999999648404784,1,1
1,0.8999999613098317,1,1
1,0.8999999613610393,1,1
1,0.8999999682922557,1,1
1,0.8999999631787039,1,1
1,0.8999999644982095,1,1
1,0.8999999706109115,1,1
1,0.899999965,1,1
1,0.8999999651808034,1,1
1,0.899999965,1,1
1,0.8999999682864622,1,1
1,0.8999999619510115,1,1
1,0.899999969,1,1
1,0.8999999672946889,1,1
1,0.8999999661083038,1,1
1,0.8999999630166954,1,1
1,0.8999999630321063,1,1
1,0.8999999666006023,1,1
1,0.8999999693369606,0,1
1,0.8999999677775036,1,1
1,0.8999999683405996,1,1
1,0.8999999643711017,1,1
1,0.8999999445809848,1,1
1,0.8999999700165305,1,1
1,0.8999999668516713,1,1
1,0.899999965,1,1
1,0.8999999563388367,1,1
1,0.8999999671723882,1,1
1,0.8999999658204629,1,1
1,0.8999999637240402,0,1
1,0.8999999624036967,1,1
1,0.89999996,1,1
1,0.8999999428313455,1,1
1,0.8999999510217814,1,1
1,0.8999999590726759,0,1
1,0.8999999675938558,1,1
1,0.899999956,1,1
1,0.8999999506727443,1,1
1,0.89999995,1,1
1,0.8999999557479585,1,1
1,0.8999999578837803,1,1
1,0.8999999576763288,1,1
1,0.8999999574148845,1,1
1,0.8999999543343955,1,1
1,0.8999999569463581,1,1
1,0.899999961,1,1
1,0.899999958,1,1
1,0.8999999523001323,1,1
1,0.8999999602283081,1,1
1,0.8999999510724063,1,1
1,0.8996758492585178,0.9113566389387818,1
1,0.899999606,1,1
0.8830596919377669,0.8590162796193909,0.745230126,0.205768233
0.8830596919377669,0.8999999553421395,1,1
0.8830596919377669,0.8999999575937117,1,1
1,0.8999999549802963,1,1
1,0.8999999597516793,1,1
1,0.8999999540477877,1,1
1,0.8999999545801252,1,1
1,0.8999999593575877,0,1
1,0.8999999553595922,1,1
1,0.8999999586648734,1,1
1,0.8999999560277238,1,1
1,0.8999999614860357,1,1
1,0.8999999602242822,1,1
1,0.8999999646173876,1,1
1,0.8999999674651977,1,1
1,0.8999999593601025,1,1
1,0.8999999615711601,1,1
1,0.8999999600854149,1,1
1,0.8999999557496737,1,1
1,0.8999999605873938,1,1
1,0.8999999645738305,1,1
1,0.8999999621365075,1,1
1,0.8999999615776196,1,1
1,0.8999999583982105,0,1
1,0.8999999602608947,1,1
1,0.8999999607839652,1,1
1,0.8999999609253426,1,1
1,0.8999999603546852,1,1
1,0.8999999601145529,1,1
1,0.8999999612604838,1,1
1,0.8999999602339326,1,1
1,0.899999953,1,1
1,0.8999999579302975,1,1
1,0.8999999611977184,1,1
1,0.8999999622154221,1,1
1,0.899999964,1,1
1,0.8999999587082431,1,1
1,0.8999999593987741,1,1
1,0.8999999599151358,1,1
1,0.8999999564986537,1,1
1,0.8999999626359703,1,1
1,0.8999999612978269,1,1
1,0.8999999566140225,1,1
1,0.899999962,1,1
1,0.8999999621220928,1,1
1,0.8999999642678951,1,1
1,0.8999999638948575,1,1
1,0.8999999573636946,1,1
1,0.8999999577521812,0,1
1,0.8999999576217322,0,1
1,0.8999999642363161,1,1
1,0.8999999662714894,1,1
1,0.8999999597598861,1,1
1,0.8999999609429369,1,1
1,0.8999999637652009,1,1
1,0.8999999597802251,1,1
1,0.8999999633888037,1,1
1,0.8999999648465093,1,1
1,0.8999999650638691,1,1
1,0.8999999643652288,1,1
1,0.899999959,1,1
1,0.8999999612546226,1,1
1,0.899999971,1,1
1,0.8999999598086105,1,1
1,0.89999997,1,1
1,0.8999999590835873,1,1
1,0.8999999658825661,1,1
1,0.8999999625081635,1,1
1,0.8999999637067011,1,1
1,0.8999999625123334,0,1
1,0.899999962,1,1
1,0.8999999621747271,1,1
1,0.8999999668947767,1,1
1,0.8999999635862275,1,1
1,0.8999999609850652,1,1
1,0.8999999678239852,1,1
1,0.8999999709847142,0,1
1,0.8999999629269037,1,1
1,0.899999969,0,1
1,0.8999999649756565,1,1
1,0.899999964,0,1
1,0.8999999661798501,0,1
1,0.8999999655204136,1,1
1,0.899999965,1,1
