Adaptive MI,Universal MI,EMI,ATT
1.0,0.8999999619643367,1.0,1.0
1.0,0.8999999655509062,1.0,1.0
1.0,0.8999999563907584,1.0,1.0
1.0,0.8999999601086426,1.0,1.0
1.0,0.8999999657691697,1.0,1.0
1.0,0.8999999679894345,1.0,1.0
1.0,0.8999999384084302,1.0,1.0
1.0,0.8999999779819221,1.0,1.0
1.0,0.8999999594653205,1.0,1.0
1.0,0.8999999622252572,1.0,1.0
1.0,0.8999999754376852,1.0,1.0
1.0,0.8999999592086357,1.0,1.0
1.0,0.8999999643067407,0.0,1.0
1.0,0.8999999469465395,1.0,1.0
1.0,0.8999999650848225,1.0,1.0
1.0,0.8999999760104815,1.0,1.0
1.0,0.8999999598429317,1.0,1.0
1.0,0.8999999461467453,1.0,1.0
1.0,0.8999999662639508,1.0,1.0
1.0,0.8999999677771382,1.0,1.0
1.0,0.899999935996559,1.0,1.0
1.0,0.8999999709731608,1.0,1.0
1.0,0.8999999711953498,0.0,1.0
1.0,0.8999999707165588,1.0,1.0
1.0,0.8999999649896194,1.0,1.0
1.0,0.8999999699484927,1.0,1.0
1.0,0.8999999618578631,1.0,1.0
1.0,0.8999999577574397,1.0,1.0
1.0,0.8999999631616322,1.0,1.0
1.0,0.8999999741913637,1.0,1.0
1.0,0.8999999654130046,1.0,1.0
1.0,0.8999999660883617,1.0,1.0
1.0,0.899999952774298,1.0,1.0
1.0,0.8999999717776873,1.0,1.0
1.0,0.8999999637403658,1.0,1.0
1.0,0.8999999644695562,1.0,1.0
1.0,0.8999999549041356,1.0,1.0
1.0,0.8999999722725768,1.0,1.0
1.0,0.8999999669427007,1.0,1.0
1.0,0.8999999621760705,1.0,1.0
1.0,0.899999965282642,1.0,1.0
1.0,0.8999999664214565,1.0,1.0
1.0,0.8999999795393574,1.0,1.0
1.0,0.8999999579962829,1.0,1.0
1.0,0.8999999707884536,1.0,1.0
1.0,0.8999999712406084,1.0,1.0
1.0,0.8999999651683642,1.0,1.0
1.0,0.8999999459735485,1.0,1.0
1.0,0.8999999520759158,1.0,1.0
1.0,0.8999999734613185,1.0,1.0
1.0,0.8999999784966487,1.0,1.0
1.0,0.899999980256172,1.0,1.0
1.0,0.8999999758893594,1.0,1.0
1.0,0.8999999740857747,1.0,1.0
1.0,0.8999999716240781,1.0,1.0
1.0,0.8999999695421778,1.0,1.0
1.0,0.8999999679476453,1.0,1.0
1.0,0.8999999694945434,1.0,1.0
1.0,0.8999999658369838,1.0,1.0
1.0,0.8999999671711062,1.0,1.0
1.0,0.8999999680902818,1.0,1.0
1.0,0.899999973266503,1.0,1.0
1.0,0.8999999694296542,1.0,1.0
1.0,0.8999999691083634,1.0,1.0
1.0,0.8999999730644407,1.0,1.0
1.0,0.8999999622064391,1.0,1.0
1.0,0.8999999682743942,0.0,1.0
1.0,0.8999999646479531,1.0,1.0
1.0,0.8999999695412039,1.0,1.0
1.0,0.899999959235189,0.0,1.0
1.0,0.8999999503975098,1.0,1.0
1.0,0.8999999679547592,1.0,1.0
1.0,0.8999999756768258,1.0,1.0
1.0,0.8999999683221752,1.0,1.0
1.0,0.899999964401218,1.0,1.0
1.0,0.8999999557305737,1.0,1.0
1.0,0.8999999574688772,1.0,1.0
1.0,0.8999999638487388,1.0,1.0
1.0,0.8999999656303607,1.0,1.0
1.0,0.8999999589441021,1.0,1.0
1.0,0.8999999592473159,1.0,1.0
1.0,0.8999999708940907,1.0,1.0
1.0,0.8999999757297941,1.0,1.0
1.0,0.8999999601091169,1.0,1.0
1.0,0.8999999688818422,1.0,1.0
1.0,0.8999999734118797,1.0,1.0
1.0,0.8999999727552578,1.0,1.0
