theta_fz,beta_fz,alpha_c3,alpha_c4,faa_c3c4,alpha_pz,alpha_po,alpha_oz,eda_norm,phase
65936.96537314996,15911.998523536931,343741.5694422351,718075.2025803038,0.736684179112169,1286600.8188609094,745420.0237305148,573357.405400108,2.0699260177612304,relaxed
15984.161073934385,33064.72491586481,266370.19117072277,468557.2798615468,0.5647713190488126,734428.8890809085,425874.1461662807,339860.3601968272,2.068810352325439,relaxed
51239.20168316092,25233.40186903366,411138.172703441,754472.9698155107,0.607090107647382,1207831.8649152708,697592.2046720355,551441.5129610149,2.067922830581665,relaxed
32783.40902139542,14437.856488521242,368809.1264871072,706736.5231554647,0.650378689817785,1181196.9469516282,683960.1898986055,534683.8197786561,2.0662476682662962,relaxed
56100.91138223835,17735.116875281128,399527.8647069053,592101.0305298554,0.3933937682746631,959897.9892545724,536552.2802524331,415655.5597368311,2.066655263900757,relaxed
27847.204367544877,12898.146010696668,1286213.2803213333,1858449.4730103537,0.36804006350893026,4162495.821842921,2428501.055390693,1749019.967934948,2.0659000425338743,relaxed
28386.889456283894,10577.130420640473,673697.699192147,1054747.8656057438,0.4482755346211835,2493071.358633864,1392821.9342336045,1009360.6281989422,2.0652652015686037,relaxed
47990.55989102748,16539.12613687561,225956.41838236366,239894.6385495496,0.059857679246718476,189101.94461016043,107947.4368230571,98937.28940042724,2.0641221351623535,relaxed
67987.48134085885,33777.63868480525,707486.8647620562,981000.2790859748,0.32685368041892104,1909434.0888878745,1097809.977764019,812722.6533512232,2.0600118474960327,relaxed
49968.36569370556,28993.981293460773,830010.0779960689,1130815.764121191,0.3092567235216137,2145997.8218813594,1221870.855847396,911829.5831841256,2.0567224197387697,relaxed
43351.70726271071,19721.155578226528,251165.0296817205,300081.2331031691,0.17794300316074896,400101.94844276295,230187.3062652785,172959.51972273155,2.0544937515258788,relaxed
38979.97175092119,53619.23522756478,353064.5215284812,402328.03569523786,0.13061694429174686,592464.6459041878,342578.76657493005,239711.84793250053,2.0524266014099117,relaxed
40663.142281214474,12915.73588512964,1456679.4147451466,2081303.8311649307,0.3568350672937317,5812388.884186669,3424928.4279716723,2319475.4133783057,2.0510039014816286,relaxed
37731.88453834859,15069.427482957723,622323.3412710715,916342.777215314,0.3869307066680925,2358972.2020434896,1358925.2081978288,965939.3576362751,2.0496247577667237,relaxed
57466.911473511034,31358.915925548827,351537.4491310012,356776.3837574623,0.014792963005827886,298968.9354483854,174463.28304545046,142813.77434539795,2.048062602043152,relaxed
31705.731687363223,23888.980035333716,430699.4457696822,609591.5919436947,0.3473787062876923,1206833.0905347527,697546.5903415896,518420.6370845921,2.0452872409820557,relaxed
10721.918599742708,11946.113734425533,760416.0029289565,1222228.2228158005,0.4745652282070356,3114972.5366718117,1764966.1898783422,1245757.7387983638,2.0497363824844363,relaxed
93212.51059408797,30647.95781728196,126196.5904652263,164896.0829381165,0.26747454229159295,276669.50462904,155272.39580834063,117628.37735616558,2.0493479919433595,relaxed
73070.16434435331,31830.63314713865,283403.23025311297,356994.6970042292,0.23085020193638606,633534.7532078126,359490.03232778376,262488.7886015508,2.0378196058273312,relaxed
81255.22666396142,24327.51538164448,343598.32110507553,405225.8059542008,0.16497115339363688,635117.3194837666,367813.1829069323,277115.1936992026,2.0367221841812135,relaxed
48782.66558479859,15826.83507125276,599812.5394403337,877608.5879836201,0.38058352254158656,1856952.171460079,1055606.6291015034,757624.5179782856,2.0330048017501827,relaxed
75415.88307737648,19617.186125593995,534418.1180997039,853425.9722039802,0.46808027881228575,1477044.798342248,843787.4769610807,641707.6386732317,2.032693607330322,relaxed
111341.80339593784,38647.81576206873,503349.9241522441,770382.6284736707,0.42560170902998884,989158.3310351743,560093.7964951884,473179.82021709153,2.0319525756835937,relaxed
19952.286674146326,11240.221814255816,469944.0845536585,1087173.941037394,0.838723175081137,1790062.486746586,1020553.965416012,811192.060150261,2.0366837911605833,focused
53921.407969576845,15925.828364872135,1501297.2306912628,3096014.146816501,0.7237859702749567,5527862.66809701,3243659.546419613,2493549.573297444,2.034967185020447,focused
70146.39273412632,29603.023902790515,251876.13197717743,407433.9001712531,0.4809412844619878,587294.1954164347,338575.7297584765,268356.8555379463,2.024062801361084,focused
186813.24435980024,52293.99212395726,254099.1805290153,428238.3746746292,0.5219553253900813,646309.6549861298,368235.98076217266,299028.22679870756,2.027340180397034,focused
53387.58753223361,41628.78329115614,275270.0673547385,478815.07112000964,0.5535617711810303,980965.3903038341,569137.5665700309,425707.66667047073,2.027464590072632,focused
72121.26348571642,28053.27597543728,299590.8037484078,498314.1033892719,0.5088130518224077,664672.2876874434,382620.56671599636,320793.3755226778,2.0272547969818113,focused
55122.19624633247,26059.039444529484,909912.7649547971,1851366.0991388427,0.7103303453038272,3236215.5921881087,1893219.801831252,1476432.4309738232,2.0281493577957157,focused
54932.6873421829,12064.047153141773,930405.598860591,1688410.9466618262,0.5959224784618922,2520294.0042272876,1458258.5535281692,1198772.6216704147,2.0280673513412477,focused
38903.41822398463,14705.272220279863,273237.2774964919,441151.85029901506,0.4790485818890051,633694.3710846476,358952.6228793411,297764.57685336476,2.0274492053985593,focused
