theta_fz,beta_fz,alpha_c3,alpha_c4,faa_c3c4,alpha_pz,alpha_po,alpha_oz,eda_norm,phase
1e-08,1e-08,154.76307112768419,1e-08,-22.76942893754634,13215.887161101826,2203.7499089437347,1e-08,0.0,relaxed
1e-08,1e-08,49.0705856624688,1e-08,-21.62079334887173,9141.432459762585,3754.8707125744263,1e-08,0.0,relaxed
1e-08,1e-08,5.042359219712403,1e-08,-19.34540763708395,12909.451682243804,7996.845733863863,1e-08,0.0,relaxed
1e-08,1e-08,2.0922615504911626,1e-08,-18.465779130695104,12486.284491960632,5536.187608274938,1e-08,0.0,relaxed
1e-08,1e-08,1e-08,1e-08,0.0,5386.428282413316,2028.494866721689,1e-08,0.0,relaxed
1e-08,1e-08,1e-08,1e-08,0.0,10083.497805078132,8599.36642934362,1e-08,0.0,relaxed
1e-08,1e-08,1e-08,1e-08,0.0,9307.334535873244,11606.872154845381,1e-08,0.0,relaxed
1e-08,1e-08,1e-08,1e-08,0.0,18219.392360529142,5392.883466961268,1e-08,0.0,relaxed
1e-08,1e-08,1e-08,1e-08,0.0,7953.618290894263,5065.925130417137,1e-08,0.0,relaxed
1e-08,1e-08,1e-08,1e-08,0.0,10176.159834531356,4924.252578139921,1e-08,0.0,relaxed
1e-08,1e-08,1e-08,1e-08,0.0,15614.194739661029,2850.977515795581,1e-08,0.0,relaxed
1e-08,1e-08,1e-08,1e-08,0.0,4950.0772300503995,3015.383491785171,1e-08,0.0,relaxed
1e-08,1e-08,1e-08,1e-08,0.0,9157.566203717231,3296.457181125958,1e-08,0.0,relaxed
1e-08,1e-08,1e-08,1e-08,0.0,3428.745963511801,897.6619101149711,1e-08,0.0,relaxed
1e-08,1e-08,1e-08,1e-08,0.0,3240.601916815812,4135.689324110225,1e-08,0.0,relaxed
1e-08,1e-08,1e-08,1e-08,0.0,4691.79157654118,1158.0297222423142,1e-08,0.0,relaxed
1e-08,1e-08,1e-08,1e-08,0.0,15353.529322369732,7512.867930191489,1e-08,0.0,relaxed
1e-08,1e-08,1e-08,1e-08,0.0,4008.3591784166983,4617.919282011581,1e-08,0.0,relaxed
1e-08,1e-08,1e-08,1e-08,0.0,10197.507978078183,819.4296418758111,1e-08,0.0,relaxed
1e-08,1e-08,1e-08,1e-08,0.0,12889.021744128602,15987.719472941864,1e-08,0.0,relaxed
1e-08,1e-08,1e-08,1e-08,0.0,21222.41121344519,6648.564133046919,1e-08,0.0,relaxed
1e-08,1e-08,1e-08,1e-08,0.0,1398.8318464341196,945.6541645912298,1e-08,0.0,relaxed
1e-08,1e-08,1e-08,1e-08,0.0,48161.09729189272,13895.013757736951,1e-08,0.0,relaxed
1e-08,1e-08,1e-08,1e-08,0.0,68738.77465328992,10234.458666323571,1e-08,0.0,relaxed
1e-08,1e-08,1e-08,1e-08,0.0,1977.9981506885504,1835.947598848746,1e-08,0.0,relaxed
1e-08,1e-08,1e-08,1e-08,0.0,13642.740243481565,1642.5266502440218,1e-08,0.0,relaxed
1e-08,1e-08,1e-08,1e-08,0.0,5377.291517661888,3853.369420947398,1e-08,0.0,relaxed
1e-08,1e-08,1e-08,1e-08,0.0,1798.7562398450625,2160.2946390446923,1e-08,0.0,relaxed
1e-08,1e-08,1e-08,1e-08,0.0,4982.415933951587,830.2690419417784,1e-08,0.0,relaxed
1e-08,1e-08,1e-08,1e-08,0.0,2724.2640147574325,4122.165236941745,1e-08,0.0,relaxed
1e-08,1e-08,1e-08,1e-08,0.0,1822.7184896591102,1445.0578393660044,1e-08,0.0,focused
1e-08,1e-08,1e-08,1e-08,0.0,2192.6160513760806,1013.5469589736119,1e-08,0.0,focused
1e-08,1e-08,1e-08,1e-08,0.0,5164.537953952082,391.1758620603956,1e-08,0.0,focused
1e-08,1e-08,1e-08,1e-08,0.0,3079.629618486095,3023.235217169825,1e-08,0.0,focused
1e-08,1e-08,1e-08,1e-08,0.0,4676.543794605279,30640.288773017353,1e-08,0.0,focused
1e-08,1e-08,1e-08,1e-08,0.0,13663.072817981552,2160.5857353718734,1e-08,0.0,focused
1e-08,1e-08,1e-08,1e-08,0.0,28750.50191792967,10254.523923798946,1e-08,0.0,focused
1e-08,1e-08,1e-08,1e-08,0.0,2421.298977781207,2363.848769599155,1e-08,0.0,focused
1e-08,1e-08,1e-08,1e-08,0.0,223.17570347736196,63.03891973929574,1e-08,0.0,focused
1e-08,1e-08,1e-08,1e-08,0.0,106474.02910734409,53729.803989507236,1e-08,0.0,focused
1e-08,1e-08,1e-08,1e-08,0.0,3282954.5976919276,1355607.9202917467,1e-08,0.0,focused
1e-08,1e-08,1e-08,1e-08,0.0,654260.4792504769,271134.0852487831,1e-08,0.0,focused
1e-08,1e-08,1e-08,1e-08,0.0,926597.9877497817,463268.0767172333,1e-08,0.0,focused
1e-08,1e-08,1e-08,1e-08,0.0,71979.81064388766,35982.64964466441,1e-08,0.0,focused
1e-08,1e-08,1e-08,1e-08,0.0,504846.50750919967,252431.07475029852,1e-08,0.0,focused
1e-08,1e-08,1e-08,1e-08,0.0,161440.37676268534,80667.03873428407,1e-08,0.0,focused
1e-08,1e-08,1e-08,1e-08,0.0,976579.7020881645,488725.10785680095,1e-08,0.0,focused
1e-08,1e-08,1e-08,1e-08,0.0,1774775.3925023386,888265.1557459394,1e-08,0.0,focused
1e-08,1e-08,1e-08,1e-08,0.0,136173.7682961279,68128.78669255151,1e-08,0.0,focused
1e-08,1e-08,1e-08,1e-08,0.0,204828.68471415312,102502.00901581091,1e-08,0.0,focused
1e-08,1e-08,1e-08,1e-08,0.0,905.5463263672226,453.37929812341,1e-08,0.0,focused
1e-08,1e-08,1e-08,1e-08,0.0,498475.37957790995,249419.98010262864,1e-08,0.0,focused
1e-08,1e-08,1e-08,1e-08,0.0,81752.03418448237,40921.666357241666,1e-08,0.0,focused
1e-08,1e-08,1e-08,1e-08,0.0,120039.92347171356,60032.45934701023,1e-08,0.0,focused
1e-08,1e-08,1e-08,1e-08,0.0,28954.739809226558,14489.052790599339,1e-08,0.0,focused
1e-08,1e-08,1e-08,1e-08,0.0,120485.36218395735,60266.280004007334,1e-08,0.0,focused
1e-08,1e-08,1e-08,1e-08,0.0,178338.58991649648,89235.34658016301,1e-08,0.0,focused
1e-08,1e-08,1e-08,1e-08,0.0,65958.38669287595,32995.780651552275,1e-08,0.0,focused
1e-08,1e-08,1e-08,1e-08,0.0,626599.1711270283,313541.9189256454,1e-08,0.0,focused
1e-08,1e-08,1e-08,1e-08,0.0,651697.7003098316,326105.3265234428,1e-08,0.0,focused
