timestamp,mi_score,behavioral_state
0.0,0.41,Neutral
1.5,0.34,Unfocused
3.0,0.33,Unfocused
4.5,0.46,Neutral
6.0,0.48,Neutral
7.5,0.37,Neutral
9.0,0.31,Unfocused
10.5,0.28,Unfocused
12.0,0.33,Unfocused
13.5,0.72,Focused
15.0,0.52,Focused
16.5,0.4,Neutral
18.0,0.35,Unfocused
19.5,0.38,Neutral
21.0,0.54,Focused
22.5,0.51,Focused
24.0,0.39,Neutral
25.5,0.48,Neutral
27.0,0.44,Neutral
28.5,0.44,Neutral
30.0,0.51,Focused
31.5,0.44,Neutral
33.0,0.26,Unfocused
34.5,0.44,Neutral
36.0,0.45,Neutral
37.5,0.65,Focused
39.0,0.74,Focused
40.5,0.49,Neutral
42.0,0.57,Focused
43.5,0.45,Neutral
45.0,0.45,Neutral
46.5,0.46,Neutral
48.0,0.35,Unfocused
49.5,0.33,Unfocused
51.0,0.33,Unfocused
52.5,0.34,Unfocused
54.0,0.33,Unfocused
55.5,0.25,Unfocused
57.0,0.31,Unfocused
58.5,0.41,Neutral
60.0,0.66,Focused
61.5,0.46,Neutral
63.0,0.53,Focused
64.5,0.77,Focused
66.0,0.45,Neutral
67.5,0.34,Unfocused
69.0,0.3,Unfocused
70.5,0.43,Neutral
72.0,0.54,Focused
73.5,0.48,Neutral
75.0,0.56,Focused
76.5,0.49,Neutral
78.0,0.45,Neutral
79.5,0.55,Focused
81.0,0.45,Neutral
82.5,0.46,Neutral
84.0,0.46,Neutral
85.5,0.41,Neutral
87.0,0.4,Neutral
88.5,0.35,Unfocused
90.0,0.31,Unfocused
91.5,0.31,Unfocused
93.0,0.33,Unfocused
94.5,0.53,Focused
96.0,0.34,Unfocused
97.5,0.39,Neutral
99.0,0.39,Neutral
100.5,0.37,Unfocused
102.0,0.3,Unfocused
103.5,0.4,Neutral
105.0,0.35,Unfocused
106.5,0.35,Unfocused
108.0,0.5,Neutral
109.5,0.65,Focused
111.0,0.46,Neutral
112.5,0.48,Neutral
114.0,0.66,Focused
115.5,0.45,Neutral
117.0,0.42,Neutral
118.5,0.51,Focused
120.0,0.47,Neutral
121.5,0.55,Focused
123.0,0.47,Neutral
124.5,0.42,Neutral
126.0,0.51,Focused
127.5,0.5,Neutral
129.0,0.4,Neutral
130.5,0.94,Focused
132.0,0.94,Focused
133.5,0.96,Focused
135.0,0.76,Focused
136.5,0.4,Neutral
138.0,0.91,Focused
139.5,0.99,Focused
141.0,0.98,Focused
142.5,0.94,Focused
144.0,0.94,Focused
145.5,0.86,Focused
147.0,0.84,Focused
148.5,0.6,Focused
150.0,0.43,Neutral
151.5,0.36,Unfocused
153.0,0.41,Neutral
154.5,0.52,Focused
156.0,0.57,Focused
157.5,0.71,Focused
159.0,0.73,Focused
160.5,0.47,Neutral
162.0,0.51,Focused
163.5,0.45,Neutral
165.0,0.52,Focused
166.5,0.33,Unfocused
168.0,0.31,Unfocused
169.5,0.56,Focused
171.0,0.64,Focused
172.5,0.47,Neutral
174.0,0.37,Unfocused
175.5,0.36,Unfocused
177.0,0.37,Unfocused
178.5,0.31,Unfocused
180.0,0.33,Unfocused
181.5,0.6,Focused
183.0,0.55,Focused
184.5,0.5,Focused
186.0,0.39,Neutral
187.5,0.47,Neutral
189.0,0.53,Focused
190.5,0.49,Neutral
192.0,0.38,Neutral
193.5,0.36,Unfocused
195.0,0.33,Unfocused
196.5,0.44,Neutral
198.0,0.41,Neutral
199.5,0.44,Neutral
201.0,0.42,Neutral
