timestamp,mi_score,behavioral_state,file
0.0,0.41,Neutral,UnicornRecorder_12_05_2025_12_41_310
1.5,0.34,Unfocused,UnicornRecorder_12_05_2025_12_41_310
3.0,0.33,Unfocused,UnicornRecorder_12_05_2025_12_41_310
4.5,0.46,Neutral,UnicornRecorder_12_05_2025_12_41_310
6.0,0.48,Neutral,UnicornRecorder_12_05_2025_12_41_310
7.5,0.37,Neutral,UnicornRecorder_12_05_2025_12_41_310
9.0,0.31,Unfocused,UnicornRecorder_12_05_2025_12_41_310
10.5,0.28,Unfocused,UnicornRecorder_12_05_2025_12_41_310
12.0,0.33,Unfocused,UnicornRecorder_12_05_2025_12_41_310
13.5,0.72,Focused,UnicornRecorder_12_05_2025_12_41_310
15.0,0.52,Focused,UnicornRecorder_12_05_2025_12_41_310
16.5,0.4,Neutral,UnicornRecorder_12_05_2025_12_41_310
18.0,0.35,Unfocused,UnicornRecorder_12_05_2025_12_41_310
19.5,0.38,Neutral,UnicornRecorder_12_05_2025_12_41_310
21.0,0.54,Focused,UnicornRecorder_12_05_2025_12_41_310
22.5,0.51,Focused,UnicornRecorder_12_05_2025_12_41_310
24.0,0.39,Neutral,UnicornRecorder_12_05_2025_12_41_310
25.5,0.48,Neutral,UnicornRecorder_12_05_2025_12_41_310
27.0,0.44,Neutral,UnicornRecorder_12_05_2025_12_41_310
28.5,0.44,Neutral,UnicornRecorder_12_05_2025_12_41_310
30.0,0.51,Focused,UnicornRecorder_12_05_2025_12_41_310
31.5,0.44,Neutral,UnicornRecorder_12_05_2025_12_41_310
33.0,0.26,Unfocused,UnicornRecorder_12_05_2025_12_41_310
34.5,0.44,Neutral,UnicornRecorder_12_05_2025_12_41_310
36.0,0.45,Neutral,UnicornRecorder_12_05_2025_12_41_310
37.5,0.65,Focused,UnicornRecorder_12_05_2025_12_41_310
39.0,0.74,Focused,UnicornRecorder_12_05_2025_12_41_310
40.5,0.49,Neutral,UnicornRecorder_12_05_2025_12_41_310
42.0,0.57,Focused,UnicornRecorder_12_05_2025_12_41_310
43.5,0.45,Neutral,UnicornRecorder_12_05_2025_12_41_310
45.0,0.45,Neutral,UnicornRecorder_12_05_2025_12_41_310
46.5,0.46,Neutral,UnicornRecorder_12_05_2025_12_41_310
48.0,0.35,Unfocused,UnicornRecorder_12_05_2025_12_41_310
49.5,0.33,Unfocused,UnicornRecorder_12_05_2025_12_41_310
51.0,0.33,Unfocused,UnicornRecorder_12_05_2025_12_41_310
52.5,0.34,Unfocused,UnicornRecorder_12_05_2025_12_41_310
54.0,0.33,Unfocused,UnicornRecorder_12_05_2025_12_41_310
55.5,0.25,Unfocused,UnicornRecorder_12_05_2025_12_41_310
57.0,0.31,Unfocused,UnicornRecorder_12_05_2025_12_41_310
58.5,0.41,Neutral,UnicornRecorder_12_05_2025_12_41_310
60.0,0.66,Focused,UnicornRecorder_12_05_2025_12_41_310
61.5,0.46,Neutral,UnicornRecorder_12_05_2025_12_41_310
63.0,0.53,Focused,UnicornRecorder_12_05_2025_12_41_310
64.5,0.77,Focused,UnicornRecorder_12_05_2025_12_41_310
66.0,0.45,Neutral,UnicornRecorder_12_05_2025_12_41_310
67.5,0.34,Unfocused,UnicornRecorder_12_05_2025_12_41_310
69.0,0.3,Unfocused,UnicornRecorder_12_05_2025_12_41_310
70.5,0.43,Neutral,UnicornRecorder_12_05_2025_12_41_310
72.0,0.54,Focused,UnicornRecorder_12_05_2025_12_41_310
73.5,0.48,Neutral,UnicornRecorder_12_05_2025_12_41_310
75.0,0.56,Focused,UnicornRecorder_12_05_2025_12_41_310
76.5,0.49,Neutral,UnicornRecorder_12_05_2025_12_41_310
78.0,0.45,Neutral,UnicornRecorder_12_05_2025_12_41_310
79.5,0.55,Focused,UnicornRecorder_12_05_2025_12_41_310
81.0,0.45,Neutral,UnicornRecorder_12_05_2025_12_41_310
82.5,0.46,Neutral,UnicornRecorder_12_05_2025_12_41_310
84.0,0.46,Neutral,UnicornRecorder_12_05_2025_12_41_310
85.5,0.41,Neutral,UnicornRecorder_12_05_2025_12_41_310
87.0,0.4,Neutral,UnicornRecorder_12_05_2025_12_41_310
88.5,0.35,Unfocused,UnicornRecorder_12_05_2025_12_41_310
90.0,0.31,Unfocused,UnicornRecorder_12_05_2025_12_41_310
91.5,0.31,Unfocused,UnicornRecorder_12_05_2025_12_41_310
93.0,0.33,Unfocused,UnicornRecorder_12_05_2025_12_41_310
94.5,0.53,Focused,UnicornRecorder_12_05_2025_12_41_310
96.0,0.34,Unfocused,UnicornRecorder_12_05_2025_12_41_310
97.5,0.39,Neutral,UnicornRecorder_12_05_2025_12_41_310
99.0,0.39,Neutral,UnicornRecorder_12_05_2025_12_41_310
100.5,0.37,Unfocused,UnicornRecorder_12_05_2025_12_41_310
102.0,0.3,Unfocused,UnicornRecorder_12_05_2025_12_41_310
103.5,0.4,Neutral,UnicornRecorder_12_05_2025_12_41_310
105.0,0.35,Unfocused,UnicornRecorder_12_05_2025_12_41_310
106.5,0.35,Unfocused,UnicornRecorder_12_05_2025_12_41_310
108.0,0.5,Neutral,UnicornRecorder_12_05_2025_12_41_310
109.5,0.65,Focused,UnicornRecorder_12_05_2025_12_41_310
111.0,0.46,Neutral,UnicornRecorder_12_05_2025_12_41_310
112.5,0.48,Neutral,UnicornRecorder_12_05_2025_12_41_310
114.0,0.66,Focused,UnicornRecorder_12_05_2025_12_41_310
115.5,0.45,Neutral,UnicornRecorder_12_05_2025_12_41_310
117.0,0.42,Neutral,UnicornRecorder_12_05_2025_12_41_310
118.5,0.51,Focused,UnicornRecorder_12_05_2025_12_41_310
120.0,0.47,Neutral,UnicornRecorder_12_05_2025_12_41_310
121.5,0.55,Focused,UnicornRecorder_12_05_2025_12_41_310
123.0,0.47,Neutral,UnicornRecorder_12_05_2025_12_41_310
124.5,0.42,Neutral,UnicornRecorder_12_05_2025_12_41_310
126.0,0.51,Focused,UnicornRecorder_12_05_2025_12_41_310
127.5,0.5,Neutral,UnicornRecorder_12_05_2025_12_41_310
129.0,0.4,Neutral,UnicornRecorder_12_05_2025_12_41_310
130.5,0.94,Focused,UnicornRecorder_12_05_2025_12_41_310
132.0,0.94,Focused,UnicornRecorder_12_05_2025_12_41_310
133.5,0.96,Focused,UnicornRecorder_12_05_2025_12_41_310
135.0,0.76,Focused,UnicornRecorder_12_05_2025_12_41_310
136.5,0.4,Neutral,UnicornRecorder_12_05_2025_12_41_310
138.0,0.91,Focused,UnicornRecorder_12_05_2025_12_41_310
139.5,0.99,Focused,UnicornRecorder_12_05_2025_12_41_310
141.0,0.98,Focused,UnicornRecorder_12_05_2025_12_41_310
142.5,0.94,Focused,UnicornRecorder_12_05_2025_12_41_310
144.0,0.94,Focused,UnicornRecorder_12_05_2025_12_41_310
