timestamp,mi_score,behavioral_state,theta_fz,alpha_po,faa,beta_frontal,eda_norm
0.0,0.43,Neutral,2.74,0.4,0.53,0.23,0.51
1.5,0.36,Unfocused,2.35,0.54,-0.59,0.38,0.51
3.0,0.34,Unfocused,2.23,0.3,-0.47,0.38,0.51
4.5,0.48,Neutral,4.11,0.6,-0.5,0.28,0.51
6.0,0.5,Focused,4.02,0.47,0.33,0.34,0.52
7.5,0.39,Neutral,2.2,0.3,0.62,0.34,0.54
9.0,0.33,Unfocused,1.79,0.19,-0.14,0.36,0.54
10.5,0.3,Unfocused,1.12,0.38,-0.24,0.34,0.54
12.0,0.34,Unfocused,2.24,0.59,-0.75,0.49,0.53
13.5,0.73,Focused,9.07,0.43,-0.88,0.33,0.53
15.0,0.54,Focused,5.09,0.41,-0.23,0.3,0.52
16.5,0.42,Neutral,2.39,0.37,0.76,0.35,0.51
18.0,0.37,Unfocused,1.72,0.53,0.35,0.32,0.51
19.5,0.4,Neutral,1.67,0.53,0.99,0.26,0.5
21.0,0.55,Focused,3.27,0.95,1.65,0.25,0.51
22.5,0.53,Focused,3.43,0.78,1.3,0.26,0.54
24.0,0.41,Neutral,1.7,0.48,1.45,0.25,0.61
25.5,0.51,Focused,4.09,0.32,0.54,0.16,0.66
27.0,0.47,Neutral,2.69,0.4,1.47,0.18,0.71
28.5,0.46,Neutral,2.15,0.45,2.1,0.26,0.73
30.0,0.54,Focused,2.44,1.12,2.37,0.16,0.75
31.5,0.47,Neutral,0.8,1.63,2.53,0.26,0.76
33.0,0.28,Unfocused,0.75,0.29,0.14,0.13,0.76
34.5,0.47,Neutral,1.73,0.66,2.37,0.12,0.76
36.0,0.48,Neutral,1.67,0.99,2.31,0.21,0.77
37.5,0.68,Focused,1.64,3.0,3.98,0.14,0.79
39.0,0.76,Focused,1.56,4.06,4.83,0.13,0.81
40.5,0.52,Focused,2.21,0.58,3.1,0.12,0.81
42.0,0.6,Focused,3.27,1.03,2.68,0.13,0.82
43.5,0.48,Neutral,2.0,0.68,2.46,0.2,0.83
45.0,0.48,Neutral,0.91,0.7,3.75,0.15,0.84
46.5,0.49,Neutral,1.78,0.66,3.07,0.21,0.86
48.0,0.38,Neutral,1.14,0.45,1.78,0.23,0.85
49.5,0.36,Unfocused,2.01,0.41,0.42,0.3,0.85
51.0,0.36,Unfocused,1.88,0.74,0.13,0.31,0.86
52.5,0.38,Neutral,2.09,0.4,0.61,0.19,0.9
54.0,0.36,Unfocused,2.68,0.88,-0.88,0.23,0.96
55.5,0.28,Unfocused,0.84,0.41,0.13,0.16,1.0
57.0,0.35,Unfocused,1.0,0.56,1.32,0.16,1.03
58.5,0.45,Neutral,2.3,0.92,1.52,0.25,1.06
60.0,0.69,Focused,6.22,0.65,1.95,0.15,1.1
61.5,0.5,Neutral,3.44,0.48,1.68,0.27,1.13
63.0,0.57,Focused,2.53,1.12,3.58,0.25,1.16
64.5,0.8,Focused,4.87,2.31,4.52,0.29,1.16
66.0,0.49,Neutral,2.29,0.86,2.53,0.31,1.16
67.5,0.38,Neutral,1.16,0.55,2.14,0.3,1.16
69.0,0.34,Unfocused,1.42,0.33,0.93,0.12,1.15
70.5,0.48,Neutral,3.3,0.96,0.77,0.16,1.16
72.0,0.59,Focused,2.09,2.62,2.56,0.26,1.19
73.5,0.53,Focused,1.83,1.62,3.03,0.42,1.21
75.0,0.6,Focused,3.16,1.25,3.37,0.38,1.21
76.5,0.53,Focused,2.81,0.92,2.72,0.38,1.19
78.0,0.49,Neutral,1.98,1.38,2.4,0.35,1.16
79.5,0.59,Focused,2.45,1.36,3.89,0.44,1.13
81.0,0.49,Neutral,2.57,0.71,2.34,0.29,1.09
82.5,0.5,Focused,1.6,1.35,2.96,0.32,1.06
84.0,0.5,Neutral,1.61,1.49,2.68,0.39,1.04
85.5,0.45,Neutral,1.51,1.41,1.8,0.31,1.03
87.0,0.43,Neutral,1.46,1.5,1.37,0.17,1.02
88.5,0.39,Neutral,1.37,0.78,1.43,0.15,1.01
90.0,0.34,Unfocused,1.22,0.18,1.33,0.13,1.01
91.5,0.35,Unfocused,1.62,0.21,0.91,0.14,1.04
93.0,0.37,Unfocused,1.39,0.48,1.39,0.12,1.09
94.5,0.57,Focused,4.9,0.57,1.12,0.19,1.12
96.0,0.38,Neutral,2.34,0.56,0.53,0.21,1.12
97.5,0.43,Neutral,2.18,0.63,1.61,0.21,1.11
99.0,0.43,Neutral,1.41,0.66,2.59,0.2,1.09
100.5,0.41,Neutral,1.67,0.46,1.92,0.17,1.06
102.0,0.33,Unfocused,0.85,1.0,0.66,0.18,1.05
103.5,0.43,Neutral,2.55,0.61,1.17,0.19,1.03
105.0,0.39,Neutral,1.66,0.44,1.55,0.17,1.02
106.5,0.38,Neutral,1.48,0.4,1.63,0.17,1.01
108.0,0.53,Focused,3.73,0.63,1.65,0.23,1.01
109.5,0.68,Focused,4.08,1.96,2.85,0.44,1.04
111.0,0.5,Focused,2.01,1.24,2.64,0.34,1.09
112.5,0.52,Focused,2.96,0.75,2.51,0.33,1.12
114.0,0.7,Focused,5.38,0.81,3.09,0.35,1.13
115.5,0.49,Neutral,2.18,0.61,3.06,0.34,1.12
117.0,0.46,Neutral,1.34,0.92,3.05,0.37,1.11
118.5,0.55,Focused,1.24,1.69,3.99,0.31,1.08
120.0,0.51,Focused,1.77,1.18,3.1,0.26,1.06
121.5,0.59,Focused,1.64,2.12,3.64,0.29,1.05
