timestamp,mi_score,behavioral_state
0.0,0.43,Neutral
1.5,0.36,Unfocused
3.0,0.34,Unfocused
4.5,0.48,Neutral
6.0,0.5,Focused
7.5,0.39,Neutral
9.0,0.33,Unfocused
10.5,0.3,Unfocused
12.0,0.34,Unfocused
13.5,0.73,Focused
15.0,0.54,Focused
16.5,0.42,Neutral
18.0,0.37,Unfocused
19.5,0.4,Neutral
21.0,0.55,Focused
22.5,0.53,Focused
24.0,0.41,Neutral
25.5,0.51,Focused
27.0,0.47,Neutral
28.5,0.46,Neutral
30.0,0.54,Focused
31.5,0.47,Neutral
33.0,0.28,Unfocused
34.5,0.47,Neutral
36.0,0.48,Neutral
37.5,0.68,Focused
39.0,0.76,Focused
40.5,0.52,Focused
42.0,0.6,Focused
43.5,0.48,Neutral
45.0,0.48,Neutral
46.5,0.49,Neutral
48.0,0.38,Neutral
49.5,0.36,Unfocused
51.0,0.36,Unfocused
52.5,0.38,Neutral
54.0,0.36,Unfocused
55.5,0.28,Unfocused
57.0,0.35,Unfocused
58.5,0.45,Neutral
60.0,0.69,Focused
61.5,0.5,Neutral
63.0,0.57,Focused
64.5,0.8,Focused
66.0,0.49,Neutral
67.5,0.38,Neutral
69.0,0.34,Unfocused
70.5,0.48,Neutral
72.0,0.59,Focused
73.5,0.53,Focused
75.0,0.6,Focused
76.5,0.53,Focused
78.0,0.49,Neutral
79.5,0.59,Focused
81.0,0.49,Neutral
82.5,0.5,Focused
84.0,0.5,Neutral
85.5,0.45,Neutral
87.0,0.43,Neutral
88.5,0.39,Neutral
90.0,0.34,Unfocused
91.5,0.35,Unfocused
93.0,0.37,Unfocused
94.5,0.57,Focused
96.0,0.38,Neutral
97.5,0.43,Neutral
99.0,0.43,Neutral
100.5,0.41,Neutral
102.0,0.33,Unfocused
103.5,0.43,Neutral
105.0,0.39,Neutral
106.5,0.38,Neutral
108.0,0.53,Focused
109.5,0.68,Focused
111.0,0.5,Focused
112.5,0.52,Focused
114.0,0.7,Focused
115.5,0.49,Neutral
117.0,0.46,Neutral
118.5,0.55,Focused
120.0,0.51,Focused
121.5,0.59,Focused
123.0,0.51,Focused
124.5,0.45,Neutral
126.0,0.55,Focused
127.5,0.53,Focused
129.0,0.44,Neutral
130.5,0.95,Focused
132.0,0.94,Focused
133.5,0.96,Focused
135.0,0.79,Focused
136.5,0.44,Neutral
138.0,0.92,Focused
139.5,0.99,Focused
141.0,0.99,Focused
142.5,0.95,Focused
144.0,0.95,Focused
145.5,0.87,Focused
147.0,0.86,Focused
148.5,0.64,Focused
150.0,0.46,Neutral
151.5,0.39,Neutral
153.0,0.44,Neutral
154.5,0.56,Focused
156.0,0.61,Focused
157.5,0.74,Focused
159.0,0.75,Focused
160.5,0.51,Focused
162.0,0.55,Focused
163.5,0.49,Neutral
165.0,0.55,Focused
166.5,0.36,Unfocused
168.0,0.34,Unfocused
169.5,0.6,Focused
171.0,0.67,Focused
172.5,0.5,Focused
174.0,0.4,Neutral
175.5,0.39,Neutral
177.0,0.41,Neutral
178.5,0.34,Unfocused
180.0,0.37,Unfocused
181.5,0.63,Focused
183.0,0.59,Focused
184.5,0.54,Focused
186.0,0.42,Neutral
187.5,0.51,Focused
189.0,0.56,Focused
190.5,0.53,Focused
192.0,0.41,Neutral
193.5,0.39,Neutral
195.0,0.36,Unfocused
196.5,0.47,Neutral
198.0,0.44,Neutral
199.5,0.47,Neutral
201.0,0.45,Neutral
