theta_fz,alpha_po,faa,beta_frontal,eda_norm
0.025947985839290283,0.025947985839290283,0.025947985839290283,0.025947985839290283,473400.0059000002
-0.010125266434139722,-0.010125266434139722,-0.010125266434139722,-0.010125266434139722,473400.5063
0.018663848832754112,0.018663848832754112,0.018663848832754112,0.018663848832754112,473401.0059000002
0.00971787498807923,0.00971787498807923,0.00971787498807923,0.00971787498807923,473401.5063
-0.0014804904640186578,-0.0014804904640186578,-0.0014804904640186578,-0.0014804904640186578,473402.0063
-0.050896511296741664,-0.050896511296741664,-0.050896511296741664,-0.050896511296741664,473402.5063
-0.04722040153865237,-0.04722040153865237,-0.04722040153865237,-0.04722040153865237,473403.00650000013
-0.05756638211702618,-0.05756638211702618,-0.05756638211702618,-0.05756638211702618,473403.50650000013
-0.024322684631139666,-0.024322684631139666,-0.024322684631139666,-0.024322684631139666,473404.00650000013
-0.04291611158987507,-0.04291611158987507,-0.04291611158987507,-0.04291611158987507,473404.5059000002
0.002652621866824722,0.002652621866824722,0.002652621866824722,0.002652621866824722,473405.00650000013
-0.02068038047218579,-0.02068038047218579,-0.02068038047218579,-0.02068038047218579,473405.5060999999
-0.01440655861612564,-0.01440655861612564,-0.01440655861612564,-0.01440655861612564,473406.0060999999
0.0007400315565367528,0.0007400315565367528,0.0007400315565367528,0.0007400315565367528,473406.5072499998
0.026580538852310088,0.026580538852310088,0.026580538852310088,0.026580538852310088,473407.0063
0.022556967389997826,0.022556967389997826,0.022556967389997826,0.022556967389997826,473407.5059000002
0.03671711741723508,0.03671711741723508,0.03671711741723508,0.03671711741723508,473408.0063
0.023849958703673714,0.023849958703673714,0.023849958703673714,0.023849958703673714,473408.50650000013
-0.015337208365963306,-0.015337208365963306,-0.015337208365963306,-0.015337208365963306,473409.0063
-0.030933138278972674,-0.030933138278972674,-0.030933138278972674,-0.030933138278972674,473409.5063
